Year,Division,Place,Team,Wins,Losses,Ties,Note,Points_Scored,Points_Allowed,Conference_Wins,Conference_Losses,Conference_Ties,Division_Wins,Division_Losses,Division_Ties
2014,AC West,3,8,5,11,0,None,266,353,5,7,0,4,2,0
2014,AC West,4,13,2,14,0,None,244,383,1,11,0,0,6,0
2014,NC North,1,15,10,6,0,Won Division,421,307,10,2,0,5,1,0
2014,NC North,2,10,10,6,0,None,364,267,7,5,0,3,3,0
2014,NC North,3,5,5,11,0,None,254,379,3,9,0,2,4,0
2014,NC North,4,9,5,11,0,None,229,385,3,9,0,2,4,0
2014,NC South,1,27,13,3,0,Won Division,441,274,11,1,0,5,1,0
2014,NC South,2,4,10,6,0,Wild Card,384,302,8,4,0,5,1,0
2014,NC South,3,17,7,9,0,None,289,329,4,8,0,1,5,0
2014,NC South,4,1,4,12,0,None,241,406,2,10,0,1,5,0
2014,NC East,1,29,12,4,0,Won Division,449,283,8,4,0,4,2,0
2014,NC East,2,7,10,6,0,Wild Card,284,296,7,5,0,3,3,0
2014,NC East,3,21,8,8,0,None,377,313,7,5,0,3,3,0
2014,NC East,4,18,7,9,0,None,377,429,5,7,0,2,4,0
2014,NC West,1,25,11,5,0,Won Division,352,345,8,4,0,5,1,0
2014,NC West,2,24,9,7,0,None,331,283,6,6,0,3,3,0
2014,NC West,3,0,6,10,0,None,324,358,4,8,0,3,3,0
2014,NC West,4,26,5,11,0,None,362,354,3,9,0,1,5,0
